time,predicted,real,person_thrown,qr_scanned,day
08:21:04,yellow,yellow,,0,1
08:48:05,blue,blue,blue,0,1
08:55:42,blue,blue,blue,0,1
10:46:05,yellow,yellow,,0,1
12:28:06,brown,brown,brown,0,1
13:21:12,yellow,yellow,,0,1
13:26:29,yellow,yellow,yellow,0,1
13:27:03,yellow,yellow,blue,0,1
13:27:13,yellow,yellow,blue,0,1
13:27:24,yellow,yellow,yellow,0,1
15:19:12,brown,yellow,brown,0,1
15:43:34,brown,brown,brown,0,1
10:22:23,yellow,blue,,0,2
10:26:23,yellow,blue,,0,2
10:26:51,yellow,yellow,yellow,0,2
10:27:35,yellow,yellow,,0,2
11:13:52,yellow,yellow,yellow,0,2
11:20:33,yellow,yellow,yellow,0,2
11:43:22,yellow,yellow,yellow,0,2
11:43:45,brown,brown,brown,0,2
11:44:29,blue,blue,brown,0,2
11:53:19,brown,yellow,brown,0,2
11:53:49,yellow,yellow,brown,0,2
11:59:33,yellow,yellow,brown,0,2
11:59:46,yellow,yellow,brown,0,2
13:31:38,yellow,blue,yellow,0,2
13:32:04,yellow,blue,yellow,0,2
13:32:39,blue,blue,blue,0,2
13:33:00,blue,blue,brown,0,2
14:06:01,yellow,yellow,yellow,0,2
16:20:34,yellow,yellow,yellow,0,2
16:21:03,yellow,yellow,,0,2
19:17:31,yellow,yellow,yellow,2,2
11:07:31,blue,blue,blue,0,3
11:25:22,brown,brown,brown,0,3
11:25:43,brown,brown,brown,0,3
11:26:14,yellow,yellow,yellow,0,3
11:36:32,yellow,yellow,yellow,0,3
12:29:29,brown,brown,brown,0,3
12:51:15,brown,brown,blue,0,3
13:35:20,brown,blue,blue,0,3
13:35:32,brown,blue,blue,0,3
13:35:51,brown,blue,blue,0,3
13:36:02,brown,blue,brown,0,3
14:36:10,yellow,yellow,yellow,0,3
14:49:32,yellow,yellow,yellow,0,3
15:13:16,blue,blue,blue,2,3
16:04:45,blue,blue,blue,0,3
16:24:31,brown,brown,,0,3
16:29:09,blue,yellow,blue,0,3
16:36:52,yellow,yellow,yellow,0,3
08:52:40,brown,brown,yellow,0,4
09:28:58,brown,brown,yellow,0,4
10:29:01,brown,brown,brown,0,4
10:58:14,yellow,yellow,,0,4
11:09:00,yellow,yellow,yellow,0,4
11:09:25,blue,yellow,yellow,0,4
12:44:27,yellow,yellow,blue,0,4
12:46:20,yellow,yellow,blue,0,4
12:46:43,yellow,yellow,blue,0,4
12:48:17,brown,brown,blue,0,4
12:48:30,brown,brown,blue,0,4
13:28:41,blue,yellow,blue,0,4
13:35:47,blue,blue,blue,0,4
14:20:18,yellow,yellow,yellow,0,4
14:49:59,yellow,yellow,yellow,0,4
16:51:23,yellow,yellow,yellow,0,4
08:21:04,yellow,yellow,,0,5
08:48:05,blue,blue,blue,0,5
08:55:42,blue,blue,blue,0,5
10:46:05,yellow,yellow,,0,5
12:28:06,brown,brown,brown,0,5
13:21:12,yellow,yellow,,0,5
13:26:29,yellow,yellow,yellow,0,5
13:27:03,yellow,yellow,blue,0,5
13:27:13,yellow,yellow,blue,0,5
13:27:24,yellow,yellow,yellow,0,5
15:19:12,brown,yellow,brown,0,5
15:43:34,brown,brown,brown,0,5
